fold,ts,te,str_base_n,str_base_pnl,str_filt_n,str_filt_pnl,str_filt_sh,str_f5_n,str_f5_pnl,str_f5_sh,str_f5d_pnl,str_f5d_sh,dir_filt_n,dir_filt_pnl,dir_filt_sh,dir_f5_n,dir_f5_pnl,dir_f5_sh,dir_f5d_pnl,dir_f5d_sh
0,2025-01-01,2025-04-01,1060,38770.9,394,25822.56,5.964,173,12878.69,4.322,13088.0,4.452,394,-3758.92,-0.654,173,2268.44,0.565,1587.4,0.397
1,2025-04-01,2025-07-01,954,59274.22,390,29531.33,5.518,174,15173.96,4.088,13882.37,3.639,390,-1848.89,-0.273,174,75.59,0.016,539.99,0.116
2,2025-07-01,2025-10-01,1297,11178.88,475,15963.26,4.429,198,7071.62,2.931,6897.11,2.853,475,1771.0,0.353,198,2355.43,0.703,2805.04,0.835
3,2025-10-01,2026-01-01,922,36981.29,395,27762.68,6.328,129,10296.15,3.867,11210.2,4.15,395,-7050.98,-1.242,129,3012.72,0.832,2283.23,0.633
4,2026-01-01,2026-04-01,891,62351.44,368,43101.29,7.15,139,15295.36,3.905,17735.1,4.602,368,4613.27,0.616,139,7160.7,1.502,7636.75,1.6
