variant,slippage_points_per_leg,trades,total_pnl,avg_trade,win_rate,profit_factor,max_trade_order_drawdown,trade_t_stat_not_sharpe,monthly_count,monthly_positive,monthly_sharpe_ann,monthly_worst,daily_active_count,daily_sharpe_ann_active_days,daily_worst,instrument,data_path
cross_ES_same_logic,1.5,251,-11846.92,-47.2,0.3307,0.427,-14636.08,-4.435,4,1,-3.331,-6861.35,64,-6.603,-958.74,ES,data/raw/databento_es_1m.csv
cross_MGC_same_logic,1.5,228,-9625.39,-42.22,0.057,0.041,-9579.28,-23.972,15,0,-3.102,-2303.22,112,-18.847,-291.8,MGC,data/raw/databento_mgc_1m.csv

