fold,train_start,train_end,test_start,test_end,train_rows,test_rows,overlap_rows,str_base_n,str_base_pnl,str_filt_n,str_filt_pnl,dir_filt_n,dir_filt_pnl
0,2024-01-01 23:30:00+00:00,2025-01-01 23:30:00+00:00,2025-01-01 23:30:00+00:00,2025-04-01 23:30:00+00:00,351727,86717,1,0,0.0,0,0.0,0,0.0
1,2024-04-01 23:30:00+00:00,2025-04-01 23:30:00+00:00,2025-04-01 23:30:00+00:00,2025-07-01 23:30:00+00:00,351396,86784,1,0,0.0,0,0.0,0,0.0
2,2024-07-01 23:30:00+00:00,2025-07-01 23:30:00+00:00,2025-07-01 23:30:00+00:00,2025-10-01 23:30:00+00:00,349870,89431,1,0,0.0,0,0.0,0,0.0
3,2024-10-01 23:30:00+00:00,2025-10-01 23:30:00+00:00,2025-10-01 23:30:00+00:00,2026-01-01 23:30:00+00:00,349779,84670,1,0,0.0,0,0.0,0,0.0
4,2025-01-01 23:30:00+00:00,2026-01-01 23:30:00+00:00,2026-01-01 23:30:00+00:00,2026-04-01 23:30:00+00:00,347599,87032,1,0,0.0,0,0.0,0,0.0
