fold,train_start,train_end,test_start,test_end,train_rows,test_rows,overlap_rows,str_base_n,str_base_pnl,str_filt_n,str_filt_pnl,dir_filt_n,dir_filt_pnl
0,2024-01-01 23:30:00+00:00,2025-01-01 23:30:00+00:00,2025-01-01 23:30:00+00:00,2025-04-01 23:30:00+00:00,351727,86717,1,1060,38770.9,394,25822.56,394,-3758.92
1,2024-04-01 23:30:00+00:00,2025-04-01 23:30:00+00:00,2025-04-01 23:30:00+00:00,2025-07-01 23:30:00+00:00,351396,86784,1,954,59274.22,390,29531.33,390,-1848.89
2,2024-07-01 23:30:00+00:00,2025-07-01 23:30:00+00:00,2025-07-01 23:30:00+00:00,2025-10-01 23:30:00+00:00,349870,89431,1,1297,11178.88,475,15963.26,475,1771.0
3,2024-10-01 23:30:00+00:00,2025-10-01 23:30:00+00:00,2025-10-01 23:30:00+00:00,2026-01-01 23:30:00+00:00,349779,84670,1,922,36981.29,395,27762.68,395,-7050.98
4,2025-01-01 23:30:00+00:00,2026-01-01 23:30:00+00:00,2026-01-01 23:30:00+00:00,2026-04-01 23:30:00+00:00,347599,87032,1,891,62351.44,368,43101.29,368,4613.27
